id,title,pages,category
8329," الحرب الإعلامية، نموذج الإعلام المقاوم في لبنان",190,الصحافة والإعلام
4692, الحركة العربية السرية (جماعة الكتاب الأحمر) 1935-1945,477,الكتب السياسية
8123, الحيوان في القرآن الكريم,508,الكتب الإسلامية
5859, الدوائر الإلكترونية,581,العلوم والطبيعة
7533, الرسول المصطفى صلى الله عليه وسلم واليهود,569,الكتب الإسلامية
731, الرصاصة الصديقة,416,الأدب والخيال
9501, الرغبة وتمثلاتها الجسدانية والجنسانية في الفن,100,الفنون
5301, الروابط المنطقية وأثرها في المنطق الرياضي والحاسوب,168,العلوم والطبيعة
5223, الرياضيات للفقيه,408,العلوم والطبيعة
4004, الشرق والغرب؛ منطلقات العلاقات ومحدداتها,352,الكتب السياسية
1451, الشعراء في عصر النبوة والخلافة الراشدة,496,الأدب والخيال
9306, الصوت المسافر نقيق الضفادع,120,الفنون
5747, الظل والمنظور الهندسي,213,العلوم والطبيعة
593, العدالة أولا من وعي التغير إلى تغير الوعي,302,الأدب والخيال
1257, العشاء في 6 حارة ترينتل u200e,40,الأدب والخيال
1485, العصر العباسي (ج1) من تاريخ الأدب العربي,580,الأدب والخيال
4020, العمل العمرانى في ضوء القرآن الكريم والسنة الشريفة,96,الكتب السياسية
4951, الغزو الأمريكي للوطن العربي,398,الكتب السياسية
7156, القاموس العملي للقانون الإنساني,716,الكتب الإسلامية
9201, القباب في العمارة الإسلامية,102,الفنون
771, القلم المسحور,72,الأدب والخيال
5595, الكهرباء والمغناطيسية والضوء وفيزياء الكم - الجزء الثاني,400,العلوم والطبيعة
5626, الكيمياء الجامعية,906,العلوم والطبيعة
5655, الكيمياء العامة - شوم الجديد,288,العلوم والطبيعة
200, المجتمعات والمدن العمانية وتطورها في العصور الإسلامية والحديثة,256,الأدب والخيال
460, المجتمعات والمدن العمانية وتطورها في العصور الإسلامية والحديثة,256,الأدب والخيال
6886, المحاسبة التجارية الميسرة,332,الاقتصاد والأعمال
6921, المحاسبة المالية الخاصة,376,الاقتصاد والأعمال
7960, المدخل الى أصول الفقه وتاريخ التشريع الاسلامي,196,الكتب الإسلامية
6039, المدخل للتكتيك الحديث بكرة القدم,213,الرياضة والتسلية
5331, المعلوماتية وتنمية المفاهيم العلمية الرياضية,198,العلوم والطبيعة
2124, المقاطع الصينية في خمسة آلاف عام,222,التاريخ والجغرافيا
9555, النظرية العامة للإثبات في المواد المدنية والتجارية,412,الشرع والقانون
3867, الهوية والمواطنة وهواجس العولمة,127,الكتب السياسية
4670, اليمن على شفا الهاوية,141,الكتب السياسية
7237, امام الأئمة الفقهاء ابو حنيفة النعمان,0,الكتب الإسلامية
870, اوبن داي,189,الأدب والخيال
4303, إدارة الخراب,318,الكتب السياسية
6748, إدارة العنصر البشري في منظمات الأعمال الحديثة,320,الاقتصاد والأعمال
8957, إشكالية السلطة في الفكر العربي - الإسلامي,232,الصحافة والإعلام
6704, إعداد الإستراتيجية التسويقية وعملياتها,144,الاقتصاد والأعمال
7296, أبو العرب التميمي القيرواني وعلم الجرح والتعديل,137,الكتب الإسلامية
4047, أخي المسلم .. هل أنت إنسان؟!,120,الكتب السياسية
2319, أطلس السيرة النبوية,336,التاريخ والجغرافيا
8806, أيديولوجيات الإعلام الإسلامي,360,الصحافة والإعلام
7135, آداب قرآنية وأحكام شرعية في سورة الحجرات,374,الكتب الإسلامية
818, بدل عن ضائع,319,الأدب والخيال
8817, تاريخ الصحافة,0,الصحافة والإعلام
2061, تاريخ اليهود في بلاد العرب في الجاهلية وصدر الإسلام,350,التاريخ والجغرافيا
